key,0,1
#,,
offset,0,4
Int32,String,String
0,,
1,CLASS,
2,JOB,
3,PET,
4,COMBO WEAPONSKILL,
5,COMBO MAGIC,
6,FORM WEAPONSKILL,<hex:024804F201FA03><hex:024904F201FB03>發動條件或觸發追加效果需要特定身形的技能。<hex:0249020103><hex:0248020103>
7,WEAPONSKILL,
8,MAGIC,
9,ABILITY,
10,GATHERING,採集用技能。
11,COLLECTABLE,採集收藏品用技能。
12,OTHERS,採集之外也可使用的大地使者共通技能。
13,FISHING - BASIC,釣魚用基礎技能。
14,FISHING - SETUP,拋竿前使用的釣魚專用技能。
15,FISHING - LURE & HOOK,拋竿後，在將魚釣上之前使用的釣魚專用技能。
16,SPEARFISHING,刺魚用技能。
17,OTHERS,釣魚與刺魚共通的技能。
18,PROGRESS,推動作業進展或提高作業效率的技能。
19,QUALITY,提升品質或品質提升效率的技能。
20,CRAFT SUPPORT,與製作力或耐久等相關的輔助技能。
21,MEISTER,裝備「專家之證」時可使用的技能。
22,,
23,,
