key,0
#,Text
offset,0
Int32,String
0,
1,連鎖 大於等於<hex:022003E80203>
2,力量 大於等於<hex:022003E80203>
3,靈巧 大於等於<hex:022003E80203>
4,耐力 大於等於<hex:022003E80203>
5,智力 大於等於<hex:022003E80203>
6,精神 大於等於<hex:022003E80203>
7,信仰 大於等於<hex:022003E80203>
8,<hex:0212023903>火 大於等於<hex:022003E80203>
9,<hex:0212023A03>冰 大於等於<hex:022003E80203>
10,<hex:0212023B03>風 大於等於<hex:022003E80203>
11,<hex:0212023C03>土 大於等於<hex:022003E80203>
12,<hex:0212023D03>雷 大於等於<hex:022003E80203>
13,<hex:0212023E03>水 大於等於<hex:022003E80203>
14,獲得力 大於等於<hex:022003E80203>
15,鑑別力 大於等於<hex:022003E80203>
16,獲得力 小於<hex:022003E80203>
17,鑑別力 <hex:020819E803FF0D>大於等於<hex:FF07>小於<hex:03><hex:022003E80203>
18,<hex:02280CFF07>Status<hex:E8020103>狀態
19,採集力上限 大於等於<hex:022003E80203>
20,<hex:020816E803FF07>裝備<hex:FF0A>未裝備<hex:03><hex:02280AFF05>Item<hex:E8020103>時
