key,1,15,23
#,Icon,Singular,Name
offset,20,0,8
int32,Image,str,str
0,200049,橢圓眼鏡,橢圓眼鏡
1,200085,金邊墨鏡,金邊墨鏡
2,200061,經典眼鏡,經典眼鏡
3,200013,玫瑰色眼鏡,玫瑰色眼鏡
4,200001,基礎款眼鏡,基礎款眼鏡
5,200025,單眼鏡,單眼鏡
6,200037,現代鼻眼鏡,現代鼻眼鏡
7,200097,無框眼鏡,無框眼鏡
8,200109,粗框眼鏡,粗框眼鏡
9,200073,藝術眼鏡,藝術眼鏡
10,200121,鼻眼鏡,鼻眼鏡
11,200133,作業眼鏡,作業眼鏡
12,200145,黃銅護目鏡,黃銅護目鏡
13,200157,下框眼鏡,下框眼鏡
14,200169,橢圓讀書眼鏡,橢圓讀書眼鏡
15,200181,典雅無框眼鏡,典雅無框眼鏡
16,200193,貓眼眼鏡,貓眼眼鏡
17,200205,窄框眼鏡,窄框眼鏡
18,200217,彩色護目鏡,彩色護目鏡
19,200229,左側眼罩,左側眼罩
20,200241,右側眼罩,右側眼罩
21,200253,左側金屬眼罩,左側金屬眼罩
22,200265,右側金屬眼罩,右側金屬眼罩
23,200277,豹目眼鏡,豹目眼鏡
24,200289,閱讀眼鏡,閱讀眼鏡
25,200301,淡色眼鏡,淡色眼鏡
26,200313,時髦眼鏡,時髦眼鏡
27,200325,,
