key,3
#,Name
offset,0
int32,str
0,
1,重生之境
2,第七星曆
3,蒼穹之禁城
4,龍詩戰爭終章
5,龍詩戰爭尾聲
6,紅蓮之狂潮
7,解放戰爭戰後
8,暗影之逆焰
9,拂曉回歸
10,末日序曲
11,曉月之終途
12,嶄新的冒險
13,金曦之遺輝
14,金曦之遺輝終章
15,蠻神威脅
16,巴哈姆特
17,水晶塔
18,亞歷山大
19,上古眾神
20,瑪哈之影
21,歐米茄時空狹縫
22,歐米茄時空狹縫外傳
23,重返伊瓦利斯
24,四聖獸奇譚
25,伊甸
26,寄葉異聞：暗黑天啟
27,神兵系列
28,萬魔殿
29,萬魔殿外傳
30,艾歐澤亞神話
31,阿卡狄亞登天鬥技場
32,瓦納·迪爾的迴響
33,
34,
35,劇情任務
36,日常任務
37,劇情任務
38,日常任務
39,劇情任務
40,日常任務
41,劇情任務
42,日常任務
43,劇情任務
44,日常任務
45,劇情任務
46,日常任務
47,劇情任務
48,日常任務
49,劇情任務
50,日常任務
51,劇情任務
52,日常任務
53,劇情任務
54,日常任務
55,劇情任務
56,日常任務
57,劇情任務
58,日常任務
59,劇情任務
60,日常任務
61,劇情任務
62,日常任務
63,劇情任務
64,日常任務
65,劇情任務
66,日常任務
67,劇情任務
68,日常任務
69,劇情任務
70,日常任務
71,劇情任務
72,日常任務
73,各族盟友
74,各族盟友：蒼穹之章
75,各族盟友：紅蓮之章
76,各族盟友：曉月之章
77,龍詩戰爭外傳
78,拂曉回歸外傳
79,嶄新的冒險外傳
80,非著名調查員
81,非著名調查員：蒼穹之章
82,非著名調查員：紅蓮之章
83,希爾迪布蘭德歸來
84,曼德維爾武器
85,希爾迪布蘭德歸來：金曦之章
86,黃道武器
87,元靈武器
88,禁地優雷卡
89,天佑女王
90,幻境武器
91,第七靈災回憶錄
92,郵差莫古利
93,聖恩達利姆神學院記
94,虛無界再生計劃
95,塔塔露的大繁榮商店
96,多瑪冒險者團
97,多瑪飛地重建記
98,重建伊修加德：劇情任務
99,重建伊修加德：支線任務
100,莫雯卓越工具
101,死者宮殿
102,天之御柱
103,正統優雷卡
104,
105,無人島開拓記
106,多變迷宮
107,宇宙探索：劇情任務
108,宇宙探索：支線任務
109,蜃景幻界新月島
110,支線任務：拉諾西亞
111,支線任務：黑衣森林
112,支線任務：薩納蘭
113,支線任務：庫爾札斯
114,支線任務：摩杜納
115,支線任務：伊修加德
116,支線任務：阿巴拉提亞雲海
117,支線任務：龍堡參天高地
118,支線任務：龍堡內陸低地
119,支線任務：翻雲霧海
120,支線任務：田園郡
121,支線任務：魔大陸
122,支線任務：神拳痕
123,支線任務：基拉巴尼亞邊區
124,支線任務：基拉巴尼亞山區
125,支線任務：基拉巴尼亞湖區
126,支線任務：黃金港
127,支線任務：紅玉海
128,支線任務：延夏
129,支線任務：太陽神草原
130,支線任務：水晶都
131,支線任務：游末邦
132,支線任務：雷克蘭德
133,支線任務：珂露西亞島
134,支線任務：安穆·艾蘭
135,支線任務：伊爾美格
136,支線任務：拉凱提卡大森林
137,支線任務：黑風海
138,支線任務：舊薩雷安
139,支線任務：拉札罕
140,支線任務：迷津
141,支線任務：薩維奈島
142,支線任務：加雷馬
143,支線任務：嘆息海
144,支線任務：厄爾庇斯
145,支線任務：天外天垓
146,支線任務：圖萊尤拉
147,支線任務：奧闊帕恰山
148,支線任務：克扎瑪烏卡濕地
149,支線任務：亞克特爾樹海
150,支線任務：夏勞尼荒野
151,支線任務：遺產之地
152,支線任務：九號解決方案
153,支線任務：活著的記憶
154,劍術師任務
155,格鬥家任務
156,斧術師任務
157,槍術師任務
158,弓箭手任務
159,雙劍師任務
160,幻術師任務
161,咒術師任務
162,秘術師任務
163,刻木匠任務
164,鍛鐵匠任務
165,鑄甲匠任務
166,雕金匠任務
167,製革匠任務
168,裁衣匠任務
169,煉金術士任務
170,烹調師任務
171,採礦工任務
172,園藝工任務
173,捕魚人任務
174,騎士任務
175,武僧任務
176,戰士任務
177,龍騎士任務
178,吟遊詩人任務
179,忍者任務
180,白魔法師任務
181,黑魔法師任務
182,召喚師任務
183,學者任務
184,暗黑騎士任務
185,機工士任務
186,占星術士任務
187,蝰蛇劍士任務
188,赤魔法師任務
189,絕槍戰士任務
190,舞者任務
191,賢者任務
192,釤鐮客任務
193,大地資源部任務
194,繪靈法師任務
195,青魔法師任務
196,金屬工藝部任務
197,手工工藝部任務
198,食藥工藝部任務
199,大地資源部任務
200,水生資源部任務
201,中庸工藝館劇情任務
202,考古系任務
203,天文系任務
204,醫學系任務
205,文化系任務
206,乙太系任務
207,薩雷安魔法大學劇情任務
208,五金店任務
209,筆記工房任務
210,鮮榨果藝任務
211,奇珍異寶任務
212,隨心釣任務
213,萬貨街劇情任務
214,防護職能任務：暗影之章
215,治療職能任務：暗影之章
216,物理進攻職能任務：暗影之章
217,魔法進攻職能任務：暗影之章
218,職能劇情任務：暗影之章
219,防護職能任務：曉月之章
220,治療職能任務：曉月之章
