key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_001,呼，基地是建好了，<hex:02100103>但大家好像還是很忙……<hex:02100103>他們到底什麼時候才能過來拿呢？
1,TEXT_CTSWKSMUMUKKO_00956_SYSTEM_000_005,積極參與宇宙探索者計劃，並獲得計劃成就「在月球完成100次宇宙任務」，<hex:02100103>即可從姆姆可處承接新的支線任務。
2,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_002,啊，<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>，你好。<hex:02100103>當我有需要你幫忙的時候，你能來和我聊聊嗎？
3,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_003,宇宙探索者計劃才剛剛啟動。<hex:02100103>今後，也希望能夠藉助你們的時間和力量，<hex:02100103>一起推動計劃的進展哦！
4,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_004,<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>，謝謝你的合作！<hex:02100103>當我可以繼續聊的時候，你再來找我吧？
5,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_006,如果可以的話，去聽聽其他人的故事吧？<hex:02100103>他們當中應該也有不少人感到困擾，<hex:02100103>如果你能幫他們聽一聽，我也會很感激的！
6,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_007,<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>，在亞德布議員的視察中，<hex:02100103>你的幫助真是太大了！<hex:02100103>今後的探索計劃也請多多合作哦！
7,TEXT_CTSWKSMUMUKKO_00956_SYSTEM_000_008,積極參與宇宙探索者計劃，並獲得計劃成就「在帕恩納星球完成50次宇宙任務」，<hex:02100103>即可從姆姆可處承接新的支線任務。
8,TEXT_CTSWKSMUMUKKO_00956_MUMUKKO_000_010,哎，明明月球上還有很多工作沒做完……<hex:02100103>就沒有人能抽出身來幫幫我嗎？
9,TEXT_CTSWKSMUMUKKO_00956_SYSTEM_000_009,若想在帕恩納星球承接姆姆可的新支線任務，<hex:02100103>需要先完成在焦渴之灣發布的，<hex:02100103>兩個支線任務。
