key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_KINGMI103_05366_SEQ_00,住宅區的斯菲恩似乎正在強忍著悲傷。
1,TEXT_KINGMI103_05366_SEQ_01,
2,TEXT_KINGMI103_05366_SEQ_02,
3,TEXT_KINGMI103_05366_SEQ_03,
4,TEXT_KINGMI103_05366_SEQ_04,
5,TEXT_KINGMI103_05366_SEQ_05,
6,TEXT_KINGMI103_05366_SEQ_06,
7,TEXT_KINGMI103_05366_SEQ_07,
8,TEXT_KINGMI103_05366_SEQ_08,
9,TEXT_KINGMI103_05366_SEQ_09,
10,TEXT_KINGMI103_05366_SEQ_10,
11,TEXT_KINGMI103_05366_SEQ_11,
12,TEXT_KINGMI103_05366_SEQ_12,
13,TEXT_KINGMI103_05366_SEQ_13,
14,TEXT_KINGMI103_05366_SEQ_14,
15,TEXT_KINGMI103_05366_SEQ_15,
16,TEXT_KINGMI103_05366_SEQ_16,
17,TEXT_KINGMI103_05366_SEQ_17,
18,TEXT_KINGMI103_05366_SEQ_18,
19,TEXT_KINGMI103_05366_SEQ_19,
20,TEXT_KINGMI103_05366_SEQ_20,
21,TEXT_KINGMI103_05366_SEQ_21,
22,TEXT_KINGMI103_05366_SEQ_22,
23,TEXT_KINGMI103_05366_SEQ_23,
24,TEXT_KINGMI103_05366_TODO_00,和瓦亞凱對話
25,TEXT_KINGMI103_05366_TODO_01,和謝爾對話
26,TEXT_KINGMI103_05366_TODO_02,再次和謝爾對話
27,TEXT_KINGMI103_05366_TODO_03,和謝爾繼續對話
28,TEXT_KINGMI103_05366_TODO_04,進入空之坑道，討伐出現的怪物
29,TEXT_KINGMI103_05366_TODO_05,和謝爾對話
30,TEXT_KINGMI103_05366_TODO_06,和謝爾對話
31,TEXT_KINGMI103_05366_TODO_07,再次和謝爾對話
32,TEXT_KINGMI103_05366_TODO_08,
33,TEXT_KINGMI103_05366_TODO_09,
34,TEXT_KINGMI103_05366_TODO_10,
35,TEXT_KINGMI103_05366_TODO_11,
36,TEXT_KINGMI103_05366_TODO_12,
37,TEXT_KINGMI103_05366_TODO_13,
38,TEXT_KINGMI103_05366_TODO_14,
39,TEXT_KINGMI103_05366_TODO_15,
40,TEXT_KINGMI103_05366_TODO_16,
41,TEXT_KINGMI103_05366_TODO_17,
42,TEXT_KINGMI103_05366_TODO_18,
43,TEXT_KINGMI103_05366_TODO_19,
44,TEXT_KINGMI103_05366_TODO_20,
45,TEXT_KINGMI103_05366_TODO_21,
46,TEXT_KINGMI103_05366_TODO_22,
47,TEXT_KINGMI103_05366_TODO_23,
48,TEXT_KINGMI103_05366_KRILE_000_001,吉歐德的槍，我帶回去……。<hex:02100103>你把籠子帶給忘斷軍的大家吧……。
49,TEXT_KINGMI103_05366_ORIGINALSPHENE_000_010,……我們回機房吧。<hex:02100103>首先得好好地告訴謝爾他們。
50,TEXT_KINGMI103_05366_KRILE_000_011,嗯……。<hex:02100103>瓦亞凱那邊，我會去跟他說的。
51,TEXT_KINGMI103_05366_SHALE_000_020,…………。
52,TEXT_KINGMI103_05366_GULOOLJA_000_025,大概是在卡琉克斯消失的同一時間，<hex:02100103>居住殼的機械兵控制權已經恢復了……。<hex:02100103>抱歉……真的對不起……。
53,TEXT_KINGMI103_05366_GRAHATIA_000_030,我巡視了其他樓層，<hex:02100103>發現有小規模的機械兵失控，那是突然發生的。<hex:02100103>他應該是在零零散散地回收乙太……。
54,TEXT_KINGMI103_05366_YSHTOLA_000_035,雖然我知道你很清楚，<hex:02100103>但不要想著一個人解決。<hex:02100103>……我們都在呢。
55,TEXT_KINGMI103_05366_ERENVILLE_000_040,……我已經和烏克拉瑪特他們聯絡過了。<hex:02100103>他們說會立刻結束會議，趕過來支援。
56,TEXT_KINGMI103_05366_GENOLT_000_045,……吉歐德的槍回來了，<hex:02100103>子彈全部打光了，槍管也燒焦了。<hex:02100103>他一直戰鬥到了最後一刻。
57,TEXT_KINGMI103_05366_ORIGINALSPHENE_000_047,在居住殼確認居民安危的其他成員，<hex:02100103>也把遺體帶回來了……。<hex:02100103>大家都在拼盡全力地努力啊……。
58,TEXT_KINGMI103_05366_WAYAKKWE_000_050,接二連三地失去同伴……<hex:02100103>我真的有點撐不住了……。
59,TEXT_KINGMI103_05366_WAYAKKWE_000_051,吉歐德對諾斯塔魯嘉和我來說，<hex:02100103>真的……就像兄長一樣的存在……。
60,TEXT_KINGMI103_05366_WAYAKKWE_000_052,但是，謝爾和他的交情更久，<hex:02100103>他肯定更難受……。<hex:02100103>一直在一起的卡夫基瓦，現在也已經……。
61,TEXT_KINGMI103_05366_WAYAKKWE_000_053,那個，如果你願意的話，能不能去和謝爾說說話？<hex:02100103>如果是我們的話，他反而會覺得被我們過度擔心……。
62,TEXT_KINGMI103_05366_WAYAKKWE_000_055,……伊薩多拉和米洛斯已經得到保護了。<hex:02100103>只有這點……請你放心。
63,TEXT_KINGMI103_05366_SHALE_000_060,……啊，抱歉。<hex:02100103>我走神了。
64,TEXT_KINGMI103_05366_SHALE_000_061,明明得快點去追捕卡琉克斯的。<hex:02100103>可腦子裡一片空白……我真沒用啊。
65,TEXT_KINGMI103_05366_Q1_000_000,你說什麼？
66,TEXT_KINGMI103_05366_A1_000_001,我能為你做些什麼嗎？
67,TEXT_KINGMI103_05366_A1_000_002,你需要時間去接受這一切
68,TEXT_KINGMI103_05366_SHALE_000_063,……呵，你還真是愛多管閒事啊。<hex:02100103>不過，謝謝你。
69,TEXT_KINGMI103_05366_SHALE_000_064,……你說得對。<hex:02100103>如果一直這樣，會影響到工作的。
70,TEXT_KINGMI103_05366_SHALE_000_065,卡夫基瓦也常說，<hex:02100103>難過的時候，宣洩出來是最好的。
71,TEXT_KINGMI103_05366_SHALE_000_066,為了整理心情……我想現在就去空之坑道的據點，<hex:02100103>去弔唁吉歐德。
72,TEXT_KINGMI103_05366_SHALE_000_067,……如果你願意的話，能跟我一起去嗎？<hex:02100103>我想跟你講講過去的事。
73,TEXT_KINGMI103_05366_SHALE_000_068,太好了……。<hex:02100103>那麼，我們往永護塔外走吧。
74,TEXT_KINGMI103_05366_SHALE_000_070,走路有點遠，我們坐空中滑翔機吧。<hex:02100103>我也為你準備好了一架。
75,TEXT_KINGMI103_05366_SHALE_000_071,我拆掉了通訊設備，讓它與網路隔離了，<hex:02100103>所以就算卡琉克斯也無法輕易地控制它。<hex:02100103>準備好出發的話，就告訴我一聲吧。
76,TEXT_KINGMI103_05366_SHALE_000_080,我們走吧。<hex:02100103>會飛過送雷塔附近，請跟著我。
77,TEXT_KINGMI103_05366_SYSTEM_000_081,要乘坐空中滑翔機移動嗎？
78,TEXT_KINGMI103_05366_SHALE_000_082,這架空中滑翔機是蓋諾爾特保養的。<hex:02100103>所以性能方面應該沒什麼問題。
79,TEXT_KINGMI103_05366_SHALE_000_083,從以前開始，只要心情鬱悶，<hex:02100103>我就會像這樣在外面兜風。
